# cat — drone formation designed in Blender (Cat_Formation), exported via the MCP bridge.
# dN,dE in metres (Blender +Y->North, +X->East); centred + spacing-scaled at load time.
# Spaced so the design-scale closest pair is ~1.5 m (no overlapping detail points).
0.226,6.0
2.08,5.706
3.753,4.854
3.753,-4.854
2.08,-5.706
0.226,-6.0
-1.628,-5.706
-3.3,-4.854
-4.628,-3.527
-5.48,-1.854
-5.774,-0.0
-5.48,1.854
-4.628,3.527
-3.3,4.854
-1.628,5.706
4.826,2.0
4.826,3.8
8.426,2.9
4.826,-2.0
4.826,-3.8
8.426,-2.9
1.826,2.0
1.826,-2.0
-0.074,0.0
-1.974,-1.5
-2.674,0.0
-1.974,1.5
-0.374,3.0
-1.974,3.0
0.026,7.5
-2.374,7.5
-0.374,-3.0
-1.974,-3.0
0.026,-7.5
-2.374,-7.5
